,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
mnee_nil,[NONE],[ПУСТО],,,,,,,[无],,,,,
mnee_no_input,[CUSTOM INPUTS DISABLED],[ВВОД ОТКЛЮЧЁН],,,,,,,[自定义按键输入已禁用],,,,,
mnee_input,[CUSTOM INPUTS ENABLED],[ВВОД ВКЛЮЧЁН],,,,,,,[自定义按键输入已启用],,,,,
mnee_axis,[AXIS:$0],[ОСЬ:$0],,,,,,,[轴：$0],,,,,
mnee_static,[STATIC],[НЕИЗМЕНЯЕМО],,,,,,,[锁定],,,,,
mnee_error,[ERROR],[ОШИБКА],,,,,,,[错误],,,,,
mnee_dummy,[DUMMY],[ФИКЦИЯ],,,,,,,[虚拟],,,,,
mnee_no_backups,[NO BACKUPS FOUND],[РЕЗЕРВНЫЕ КОПИИ ОТСУТСТВУЮТ],,,,,,,[未找到备份],,,,,
mnee_tutorial,[PRESS CTRL+M IN-GAME TO OPEN THE MENU],[НАЖМИ CTRL+M В ИГРЕ ЧТОБЫ ОТКРЫТЬ ГЛАВНОЕ ОКНО],,,,,,,[在游戏内按下CTRL+M以开启该菜单],,,,,
mnee_done,[IT IS DONE],[ГОТОВО],,,,,,,[已完成],,,,,
mnee_setup_warning, [Will override this mod's profile!], [Перезапишет профиль этого мода!],,,,,,, [将覆盖此模组的档案！],,,,,
mnee_desc,Standard M-Nee bindings.,Стандартные M-Nee бинды.,,,,,,,标准M-Nee键绑定,,,,,
mnee_no_change,This binding cannot be changed!,Этот бинд не может быть изменён!,,,,,,,此按键绑定无法被更改！,,,,,
mnee_jpad_count,Gamepad Count: [$0],Число Контроллеров: [$0],,,,,,,游戏手柄数量：[$0],,,,,
mnee_jpad_id,CURRENT CTRL ID: ,ТЕКУШИЙ ИДЕНТИФИКАТОР: ,,,,,,,当前控制器ID： ,,,,,
mnee_conflict,CONFLICT -,КОНФЛИКТ -,,,,,,,冲突 -,,,,,
mnee_titleA,primary,основные,,,,,,,主要,,,,,
mnee_titleB,secondary,дополнительные,,,,,,,次要,,,,,
mnee_this_profile,Current Profile,Текущий профиль,,,,,,,当前档案,,,,,
mnee_default,Default Setup,Обычная Настройка,,,,,,,默认预设,,,,,
mnee_default_desc,Sets the bindings to the default setting.,Возвращает клавиши в изначальное положение.,,,,,,,将该按键绑定集合设置为默认。,,,,,
mnee_close,Close,Закрыть,,,,,,,关闭,,,,,
mnee_altA,Show Secondary Bindings,Показать Дополнительные Бинды,,,,,,,显示次要按键绑定,,,,,
mnee_altB,Show Primary Bindings,Показать Основные Бинды,,,,,,,显示主要按键绑定,,,,,
mnee_no_jpads,No controller is present!,Нет ни одного контроллера!,,,,,,,未检测到控制器！,,,,,
mnee_waiting,Waiting for Input...,Ожидание Ввода...,,,,,,,等待按键输入...,,,,,
mnee_keys,Keys detected: ,Обнаруженные клавиши: ,,,,,,,检测到的按键： ,,,,,
mnee_binding_simple,"Press the key you wish to bind to this action.\nOnly one key can be assigned in this mode.\nGUI LMB/RMB are ignored and special keys are ","Нажми клавишу для присвоения её действию.\nТолько одна клавиша может быть присвоена в этом режиме.\nИнтерфейсные ЛКМ/ПКМ игнорируются и специальные клавиши ",,,,,,,"按下你想要绑定到此动作的按键。\n在此模式下只能分配一个按键。\n界面左/右键单击被忽略，特殊键",,,,,
mnee_binding_simple_a,allowed.,разрешаются.,,,,,,,忽略全局左/右鼠标按钮并允许特殊键。,,,,,
mnee_binding_simple_b,disallowed.,запрещаются.,,,,,,,忽略全局鼠标左键/右键并且不允许特殊按键。,,,,,
mnee_binding_advanced,"Hold down the key group you wish to bind to this action.\nOnce at least a single key is pressed, the 5 second autoconfirm timer will start counting down.\nYou can press [ENTER] to confirm the change immediately.","Удерживай группу клавиш для присвоения её действию.\nКак только хотя бы одна из клавиш нажата, начнётся 5-секундный отсчёт до подтверждения.\nНажатие [ВВОД] немедленно подтвердит изменение.",,,,,,,按住你想要绑定到此动作的按键组合。\n一旦至少有一个按键被按下，五秒后将自动确认。\n你可以按下回车来立即确认更改。,,,,,
mnee_binding_axis,Move the axis you wish to bind this action to.,"Смести ось джойстика, чтобы присвоить её этому дествию.",,,,,,,移动你想要绑定到此动作的轴。,,,,,
mnee_no_slot,This slot is already bound!,Этот слот занят!,,,,,,,此槽位已绑定！,,,,,
mnee_open,Open M-Nee,Открыть M-Nee,,,,,,,开启M-Nee,,,,,
mnee_open_desc,Will open this menu.,Покажет это окно.,,,,,,,将开启此菜单。,,,,,
mnee_nope,Toggle M-Nee,Переключить M-Nee,,,,,,,开关M-Nee,,,,,
mnee_nope_desc,Will disable all the custom inputs.,Отключит ввод.,,,,,,,将开关所有自定义按键输入。,,,,,
mnee_frontend,Frontend Mode,Режим Интерфейса,,,,,,,前端模式,,,,,
