,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
mnee_nil,[NONE],[ПУСТО],,,,,,,[无],,,,,
mnee_no_input,[CUSTOM INPUTS DISABLED],[ВВОД ОТКЛЮЧЁН],,,,,,,[自定义输入已禁用],,,,,
mnee_input,[CUSTOM INPUTS ENABLED],[ВВОД ВКЛЮЧЁН],,,,,,,[自定义输入已启用],,,,,
mnee_axis,[AXIS],[ОСЬ],,,,,,,[控制轴],,,,,
mnee_static,[STATIC],[НЕИЗМЕННО],,,,,,,[锁定],,,,,
mnee_error,[ERROR],[ОШИБКА],,,,,,,[错误],,,,,
mnee_no_backups,[NO BACKUPS FOUND],[РЕЗЕРВНЫЕ КОПИИ ОТСУТСТВУЮТ],,,,,,,[未找到备份],,,,,
mnee_tutorial,[PRESS LEFT_CTRL+M IN-GAME TO OPEN THE MENU],[НАЖМИ LEFT_CTRL+M В ИГРЕ ЧТОБЫ ОТКРЫТЬ ГЛАВНОЕ ОКНО],,,,,,,[在游戏内按下左CTRL+M以开启该菜单],,,,,
mnee_done,[IT IS DONE],[ГОТОВО],,,,,,,,,,,,
mnee_desc,Global M-Nee bindings.,Глобальные M-Nee бинды.,,,,,,,全面M-Nee按键绑定集合,,,,,
mnee_no_change,This binding cannot be changed!,Этот бинд не может быть изменён!,,,,,,,此按键绑定无法被更改！,,,,,
mnee_jpad_count,[$0] gamepads detected,[$0] контроллеров обнаружено,,,,,,,检测到 [$0] 个游戏手柄。,,,,,
mnee_jpad_id,CURRENT CTRL ID:,ТЕКУШИЙ ИДЕНТИФИКАТОР:,,,,,,,当前控制器ID：,,,,,
mnee_conflict,CONFLICT -,КОНФЛИКТ -,,,,,,,冲突 -,,,,,
mnee_this_profile,Current Profile,Текущий профиль,,,,,,,当前控制配置,,,,,
mnee_close,Close,Закрыть,,,,,,,关闭,,,,,
mnee_altA,Show Secondary Bindings,Показать Дополнительные Бинды,,,,,,,显示次要按键绑定集合,,,,,
mnee_altB,Show Primary Bindings,Показать Основные Бинды,,,,,,,显示主要按键绑定集合,,,,,
mnee_no_jpads,No controller is present!,Нет ни одного контроллера!,,,,,,,未检测到控制器！,,,,,
mnee_waiting,Waiting for Input...,Ожидание Ввода...,,,,,,,等待输入...,,,,,
mnee_keys,Keys detected:,Обнаруженные клавиши:,,,,,,,检测到的按键：,,,,,
mnee_binding_simple,Press the key you wish to bind to this action. @ Only one key can be assigned in this mode. @ LMB/RMB are ignored and special keys are disallowed.,Нажми клавишу для присвоения её действию. @ Только одна клавиша может быть присвоена в этом режиме. @ ЛКМ/ПКМ игнорируются и специальные клавиши не разрешаются.,,,,,,,按下你想要绑定到此动作的按键。@ 在此模式下只能分配一个按键。@ 忽略鼠标左键/右键并且不允许特殊按键。,,,,,
mnee_binding_advanced,"Hold down the key group you wish to bind to this action. @ Once at least a single key is pressed, the 5 second autoconfirm timer will start counting down. @ You can press [ENTER] to confirm the change immediately.","Удерживай группу клавиш для присвоения её действию. @ Как только хотя бы одна из клавиш нажата, начнётся 5-секундный отсчёт до подтверждения. @ Нажатие [ВВОД] немедленно подтвердит изменение.",,,,,,,按住你想要绑定到此动作的按键组合。@ 一旦至少有一个按键被按下，五秒后将自动确认。@ 你可以按下回车来立即确认更改。,,,,,
mnee_binding_axis,Move the axis you wish to bind this action to.,"Смести ось джойстика, чтобы присвоить её к этому дествию.",,,,,,,移动你想要绑定到此动作的控制轴。,,,,,
mnee_no_slot,This slot is already binded!,Этот слот занят!,,,,,,,此槽位已绑定！,,,,,
mnee_open,Open M-Nee,Открыть M-Nee,,,,,,,开启M-Nee,,,,,
mnee_open_desc,Will open this menu.,Покажет это окно.,,,,,,,将开启此菜单。,,,,,
mnee_nope,Disable M-Nee,Отключить M-Nee,,,,,,,禁用M-Nee,,,,,
mnee_nope_desc,Will disable all the custom inputs.,Отключит ввод.,,,,,,,将禁用所有自定义输入。,,,,,
mnee_profile,Change Profile,Сменить профиль,,,,,,,更改控制配置,,,,,
mnee_profile_desc,Cycle through independed binding profiles.,Переключает между независимыми конфигурациями.,,,,,,,循环切换独立的按键绑定控制配置。,,,,,
mnee_reset,Complete Reset,Полный Сброс,,,,,,,完全重置,,,,,
mnee_doit,do it,давай,,,,,,,确认,,,,,
mnee_lmb_keys,LMB to open the bindings.,ЛКМ чтобы показать бинды.,,,,,,,左键以开启该按键绑定集合。,,,,,
mnee_lmb_axis,LMB to bind analog stick. RMB to bind buttons.,ЛКМ чтобы назначить джойстик. ПКМ чтобы назанчить клавиши.,,,,,,,左键以绑定模拟摇杆。右键以绑定按钮。,,,,,
