,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
mnee_nil,[NONE],[ПУСТО],,,,,,,[无],,,,,
mnee_no_input,[CUSTOM INPUTS DISABLED],[ВВОД ОТКЛЮЧЁН],,,,,,,[自定义输入已禁用],,,,,
mnee_input,[CUSTOM INPUTS ENABLED],[ВВОД ВКЛЮЧЁН],,,,,,,[自定义输入已启用],,,,,
mnee_axis,[AXIS:$0],[ОСЬ:$0],,,,,,,[控制轴:$0],,,,,
mnee_static,[STATIC],[НЕИЗМЕННО],,,,,,,[锁定],,,,,
mnee_error,[ERROR],[ОШИБКА],,,,,,,[错误],,,,,
mnee_dummy,[DUMMY],[ФИКЦИЯ],,,,,,,,,,,,
mnee_no_backups,[NO BACKUPS FOUND],[РЕЗЕРВНЫЕ КОПИИ ОТСУТСТВУЮТ],,,,,,,[未找到备份],,,,,
mnee_tutorial,[PRESS CTRL+M IN-GAME TO OPEN THE MENU],[НАЖМИ CTRL+Ь В ИГРЕ ЧТОБЫ ОТКРЫТЬ ГЛАВНОЕ ОКНО],,,,,,,[在游戏内按下左CTRL+M以开启该菜单],,,,,
mnee_done,[IT IS DONE],[ГОТОВО],,,,,,,[已完成],,,,,
mnee_setup_warning,[Will override this mod's profile!],[Перезапишет профиль этого мода!],,,,,,,,,,,,
mnee_desc,Global M-Nee bindings.,Глобальные M-Nee бинды.,,,,,,,全面M-Nee按键绑定集合,,,,,
mnee_no_change,This binding cannot be changed!,Этот бинд не может быть изменён!,,,,,,,此按键绑定无法被更改！,,,,,
mnee_jpad_count,gamepad count: [$0],счётчик контроллеров: [$0],,,,,,,检测到 [$0] 个游戏手柄。,,,,,
mnee_jpad_id,CURRENT CTRL ID: ,ТЕКУШИЙ ИДЕНТИФИКАТОР: ,,,,,,,当前控制器ID： ,,,,,
mnee_conflict,CONFLICT -,КОНФЛИКТ -,,,,,,,冲突 -,,,,,
mnee_titleA,primary,основные,,,,,,,,,,,,
mnee_titleB,secondary,дополнительные,,,,,,,,,,,,
mnee_this_profile,Current Profile,Текущий профиль,,,,,,,当前控制配置,,,,,
mnee_default,Default Setup,Обычная Настройка,,,,,,,,,,,,
mnee_default_desc,Sets the bindings to the default setting.,Возвращает клавиши в изначальное положение.,,,,,,,,,,,,
mnee_close,Close,Закрыть,,,,,,,关闭,,,,,
mnee_altA,Show Secondary Bindings,Показать Дополнительные Бинды,,,,,,,显示次要按键绑定集合,,,,,
mnee_altB,Show Primary Bindings,Показать Основные Бинды,,,,,,,显示主要按键绑定集合,,,,,
mnee_no_jpads,No controller is present!,Нет ни одного контроллера!,,,,,,,未检测到控制器！,,,,,
mnee_waiting,Waiting for Input...,Ожидание Ввода...,,,,,,,等待输入...,,,,,
mnee_keys,Keys detected:,Обнаруженные клавиши:,,,,,,,检测到的按键：,,,,,
mnee_binding_simple,Press the key you wish to bind to this action. @ Only one key can be assigned in this mode. @ Global LMB/RMB are ignored and special keys are disallowed.,Нажми клавишу для присвоения её действию. @ Только одна клавиша может быть присвоена в этом режиме. @ Глобальные ЛКМ/ПКМ игнорируются и специальные клавиши не разрешаются.,,,,,,,按下你想要绑定到此动作的按键。@ 在此模式下只能分配一个按键。@ 忽略鼠标左键/右键并且不允许特殊按键。,,,,,
mnee_binding_advanced,"Hold down the key group you wish to bind to this action. @ Once at least a single key is pressed, the 5 second autoconfirm timer will start counting down. @ You can press [ENTER] to confirm the change immediately.","Удерживай группу клавиш для присвоения её действию. @ Как только хотя бы одна из клавиш нажата, начнётся 5-секундный отсчёт до подтверждения. @ Нажатие [ВВОД] немедленно подтвердит изменение.",,,,,,,按住你想要绑定到此动作的按键组合。@ 一旦至少有一个按键被按下，五秒后将自动确认。@ 你可以按下回车来立即确认更改。,,,,,
mnee_binding_axis,Move the axis you wish to bind this action to.,"Смести ось джойстика, чтобы присвоить её этому дествию.",,,,,,,移动你想要绑定到此动作的控制轴。,,,,,
mnee_no_slot,This slot is already bound!,Этот слот занят!,,,,,,,此槽位已绑定！,,,,,
mnee_open,Open M-Nee,Открыть M-Nee,,,,,,,开启M-Nee,,,,,
mnee_open_desc,Will open this menu.,Покажет это окно.,,,,,,,将开启此菜单。,,,,,
mnee_nope,Toggle M-Nee,Переключить M-Nee,,,,,,,禁用M-Nee,,,,,
mnee_nope_desc,Will disable all the custom inputs.,Отключит ввод.,,,,,,,将禁用所有自定义输入。,,,,,
mnee_profile,Change Profile,Сменить профиль,,,,,,,更改控制配置,,,,,
mnee_profile_desc,Cycle through independed binding profiles.,Переключает между независимыми конфигурациями.,,,,,,,循环切换独立的按键绑定控制配置。,,,,,
